2020-12-09 01:41:24 INFO  ActivityService:23 - All activities for building id = 7: [Activity{id=13, workName='Fire alarm facilities work', price=2000.0, amount=1.0}, Activity{id=14, workName='Installation of metal evacuation ladders', price=3000.0, amount=1.0}]
2020-12-09 01:41:24 INFO  ActivityService:39 - All activities by building id=7: [Activity{id=13, workName='Fire alarm facilities work', price=2000.0, amount=1.0}, Activity{id=14, workName='Installation of metal evacuation ladders', price=3000.0, amount=1.0}]
2020-12-09 01:41:24 INFO  ActivityService:32 - Total price = 5000.0
2020-12-09 01:41:24 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2020-12-09 01:41:24 INFO  pooling:115 - HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/procamp_psv?useSSL=false&serverTimezone=UTC]
2020-12-09 01:41:24 INFO  pooling:124 - HHH10001001: Connection properties: {password=****, user=root}
2020-12-09 01:41:24 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2020-12-09 01:41:24 INFO  DriverManagerConnectionProviderImpl:249 - HHH000115: Hibernate connection pool size: 1 (min=1)
2020-12-09 01:41:24 INFO  Dialect:170 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2020-12-09 01:41:24 INFO  access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@6c8f4bc7] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2020-12-09 01:41:24 INFO  ActivityService:23 - All activities for building id = 7: [Activity{id=13, workName='Fire alarm facilities work', price=2000.0, amount=1.0}, Activity{id=14, workName='Installation of metal evacuation ladders', price=3000.0, amount=1.0}]
2020-12-09 01:41:24 INFO  ActivityService:39 - All activities by building id=7: [Activity{id=13, workName='Fire alarm facilities work', price=2000.0, amount=1.0}, Activity{id=14, workName='Installation of metal evacuation ladders', price=3000.0, amount=1.0}]
2020-12-09 01:41:24 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2020-12-09 01:41:24 INFO  pooling:115 - HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/procamp_psv?useSSL=false&serverTimezone=UTC]
2020-12-09 01:41:24 INFO  pooling:124 - HHH10001001: Connection properties: {password=****, user=root}
2020-12-09 01:41:24 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2020-12-09 01:41:24 INFO  DriverManagerConnectionProviderImpl:249 - HHH000115: Hibernate connection pool size: 1 (min=1)
2020-12-09 01:41:24 INFO  Dialect:170 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2020-12-09 01:41:24 INFO  access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@19bfbe28] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2020-12-09 01:41:25 INFO  BuildingDao:63 - Set building id=7 status is active = FALSE
2020-12-09 01:41:25 INFO  ActivityService:34 - Active status was updated
2020-12-09 01:41:25 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2020-12-09 01:41:25 INFO  pooling:115 - HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/procamp_psv?useSSL=false&serverTimezone=UTC]
2020-12-09 01:41:25 INFO  pooling:124 - HHH10001001: Connection properties: {password=****, user=root}
2020-12-09 01:41:25 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2020-12-09 01:41:25 INFO  DriverManagerConnectionProviderImpl:249 - HHH000115: Hibernate connection pool size: 1 (min=1)
2020-12-09 01:41:25 INFO  Dialect:170 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
